Date,Week,Workout,Exercise,Set,Target Reps,RIR,Weight,Reps Achieved,RIR Achieved,Notes
,1,Upper Hypertrophy,Cable Row,1,12,3,40,12,4,
,1,Upper Hypertrophy,Cable Row,2,12,3,45,12,2,Good weight 
,1,Upper Hypertrophy,Cable Row,3,12,3,45,12,1,
,1,Upper Hypertrophy,Cable Row,4,12,3,40,12,3,
,1,Upper Hypertrophy,Dumbbell Lateral Raise,1,15,3,6,15,3,
,1,Upper Hypertrophy,Dumbbell Lateral Raise,2,15,3,6,15,3,
,1,Upper Hypertrophy,Dumbbell Lateral Raise,3,15,3,6,15,3,
,1,Upper Hypertrophy,Dumbbell Lateral Raise,4,15,3,6,15,2,
,1,Upper Hypertrophy,Lat Pulldown,1,12,3,47,12,4,
,1,Upper Hypertrophy,Lat Pulldown,2,12,3,50,12,3,
,1,Upper Hypertrophy,Lat Pulldown,3,12,3,54,12,1,"To heavy
"
,1,Upper Hypertrophy,Lat Pulldown,4,12,3,47,12,8,
,1,Upper Hypertrophy,Dumbbell Curl,1,12,3,6,12,3,
,1,Upper Hypertrophy,Dumbbell Curl,2,12,3,8,12,2,
,1,Upper Hypertrophy,Dumbbell Curl,3,12,3,7,12,1,To heavy
,1,Upper Hypertrophy,Tricep Pushdown,1,12,3,45,12,3,
,1,Upper Hypertrophy,Tricep Pushdown,2,12,3,45,12,3,
,1,Upper Hypertrophy,Tricep Pushdown,3,12,3,45,12,2,
,1,Upper Hypertrophy,Face Pull,1,15,3,30,15,3,
,1,Upper Hypertrophy,Face Pull,2,15,3,25,15,3,
,1,Upper Hypertrophy,Face Pull,3,15,3,25,15,3,
20/08/2026,1,Lower Hypertrophy,Front Squat,1,10,3,35,10,3,Improve technic 
1:20:34,1,Lower Hypertrophy,Front Squat,2,10,3,35,10,3,
,1,Lower Hypertrophy,Front Squat,3,10,3,35,10,2,
,1,Lower Hypertrophy,Front Squat,4,10,3,32.5,10,2,
,1,Lower Hypertrophy,Romanian Deadlift,1,10,3,80,10,3,
,1,Lower Hypertrophy,Romanian Deadlift,2,10,3,80,10,3,
,1,Lower Hypertrophy,Romanian Deadlift,3,10,3,80,10,3,
,1,Lower Hypertrophy,Romanian Deadlift,4,10,3,0,0,0,
,1,Lower Hypertrophy,Leg Extension,1,15,3,52.5,15,3,
,1,Lower Hypertrophy,Leg Extension,2,15,3,52.5,15,3,
,1,Lower Hypertrophy,Leg Extension,3,15,3,55,13,1,
,1,Lower Hypertrophy,Leg Extension,4,15,3,50,15,1,
,1,Lower Hypertrophy,Leg Curl,1,15,3,50,15,2,
,1,Lower Hypertrophy,Leg Curl,2,15,3,50,15,0,
,1,Lower Hypertrophy,Leg Curl,3,15,3,45,15,0,
,1,Lower Hypertrophy,Leg Curl,4,15,3,42.5,15,3,
,1,Lower Hypertrophy,Seated Calf Raise,1,15,3,50,15,3,
,1,Lower Hypertrophy,Seated Calf Raise,2,15,3,50,15,3,
,1,Lower Hypertrophy,Seated Calf Raise,3,15,3,50,15,3,
,1,Lower Hypertrophy,Seated Calf Raise,4,15,3,50,15,3,
23/08/2026,2,Upper Power,Barbell Bench Press,1,5,3,80,5,2,
1:20:30,2,Upper Power,Barbell Bench Press,2,5,3,75,5,2,
,2,Upper Power,Barbell Bench Press,3,5,3,75,5,1,
,2,Upper Power,Barbell Bench Press,4,5,3,72.5,5,2,
,2,Upper Power,Barbell Row,1,5,3,60,5,3,
,2,Upper Power,Barbell Row,2,5,3,60,5,3,
,2,Upper Power,Barbell Row,3,5,3,60,5,3,
,2,Upper Power,Barbell Row,4,5,3,60,5,2,
,2,Upper Power,Overhead Press,1,6,3,45,6,3,
,2,Upper Power,Overhead Press,2,6,3,45,5,1,
,2,Upper Power,Overhead Press,3,6,3,42.5,6,2,
,2,Upper Power,Weighted Pull-ups,1,6,3,12.5,6,2,
,2,Upper Power,Weighted Pull-ups,2,6,3,12.5,6,2,
,2,Upper Power,Weighted Pull-ups,3,6,3,12.5,6,1,
,2,Upper Power,Barbell Curl,1,8,3,8.75,8,3,
,2,Upper Power,Barbell Curl,2,8,3,8.75,8,2,
,2,Upper Power,Barbell Curl,3,8,3,8.75,8,2,
,2,Upper Power,Skull Crushers,1,8,3,8.75,8,4,
,2,Upper Power,Skull Crushers,2,8,3,10,8,3,
,2,Upper Power,Skull Crushers,3,8,3,10,8,2,
24/08/2026,2,Lower Power,Barbell Squat,1,5,3,67.5,,3,
01:15:50,2,Lower Power,Barbell Squat,2,5,3,65,5,3,
,2,Lower Power,Barbell Squat,3,5,3,65,5,2,
,2,Lower Power,Barbell Squat,4,5,3,65,5,2,
,2,Lower Power,Deadlift,1,5,3,95,5,3,
,2,Lower Power,Deadlift,2,5,3,95,5,3,
,2,Lower Power,Deadlift,3,5,3,95,5,3,
,2,Lower Power,Deadlift,4,5,3,95,5,3,
,2,Lower Power,Leg Press,1,8,3,100,8,3,
,2,Lower Power,Leg Press,2,8,3,100,8,3,
,2,Lower Power,Leg Press,3,8,3,100,8,2,
,2,Lower Power,Leg Curl,1,8,3,60,8,2,
,2,Lower Power,Leg Curl,2,8,3,60,8,2,
,2,Lower Power,Leg Curl,3,8,3,60,8,2,
,2,Lower Power,Standing Calf Raise,1,10,3,27.5,8,3,Smith machine
,2,Lower Power,Standing Calf Raise,2,10,3,27.5,10,3,
,2,Lower Power,Standing Calf Raise,3,10,3,27.5,10,3,
,2,Lower Power,Standing Calf Raise,4,10,3,0.25,1,1,
26/08/2026,2,Upper Hypertrophy,Incline Dumbbell Press,1,12,3,26,12,3,
01:29:19,2,Upper Hypertrophy,Incline Dumbbell Press,2,12,3,26,10,2,
,2,Upper Hypertrophy,Incline Dumbbell Press,3,12,3,24,10,1,
,2,Upper Hypertrophy,Incline Dumbbell Press,4,12,3,22,9,1,
,2,Upper Hypertrophy,Cable Row,1,12,3,42.5,12,4,
,2,Upper Hypertrophy,Cable Row,2,12,3,43.75,12,3,
,2,Upper Hypertrophy,Cable Row,3,12,3,43.75,12,3,
,2,Upper Hypertrophy,Cable Row,4,12,3,42.5,12,2,
,2,Upper Hypertrophy,Dumbbell Lateral Raise,1,15,3,6,15,3,
,2,Upper Hypertrophy,Dumbbell Lateral Raise,2,15,3,6,15,3,
,2,Upper Hypertrophy,Dumbbell Lateral Raise,3,15,3,7,15,2,
,2,Upper Hypertrophy,Dumbbell Lateral Raise,4,15,3,6,15,3,
,2,Upper Hypertrophy,Lat Pulldown,1,12,3,49.5,12,3,
,2,Upper Hypertrophy,Lat Pulldown,2,12,3,49.5,12,3,
,2,Upper Hypertrophy,Lat Pulldown,3,12,3,50.75,12,3,
,2,Upper Hypertrophy,Lat Pulldown,4,12,3,50.75,12,1,
,2,Upper Hypertrophy,Dumbbell Curl,1,12,3,7,12,3,
,2,Upper Hypertrophy,Dumbbell Curl,2,12,3,7,12,3,
,2,Upper Hypertrophy,Dumbbell Curl,3,12,3,7,12,2,
,2,Upper Hypertrophy,Tricep Pushdown,1,12,3,26.25,12,3,
,2,Upper Hypertrophy,Tricep Pushdown,2,12,3,26.25,12,3,
,2,Upper Hypertrophy,Tricep Pushdown,3,12,3,26.25,12,2,
,2,Upper Hypertrophy,Face Pull,1,15,3,16.25,15,3,
,2,Upper Hypertrophy,Face Pull,2,15,3,16.25,15,3,
,2,Upper Hypertrophy,Face Pull,3,15,3,16.25,15,3,
27/08/2026,2,Lower Hypertrophy,Front Squat,1,10,3,40,10,3,
01:27:05,2,Lower Hypertrophy,Front Squat,2,10,3,37.5,10,3,
,2,Lower Hypertrophy,Front Squat,3,10,3,37.5,10,2,
,2,Lower Hypertrophy,Front Squat,4,10,3,35,10,3,
,2,Lower Hypertrophy,Romanian Deadlift,1,10,3,80,10,3,
,2,Lower Hypertrophy,Romanian Deadlift,2,10,3,90,10,3,
,2,Lower Hypertrophy,Romanian Deadlift,3,10,3,85,10,3,
,2,Lower Hypertrophy,Romanian Deadlift,4,10,3,0,0,,
,2,Lower Hypertrophy,Leg Extension,1,15,3,55,15,3,
,2,Lower Hypertrophy,Leg Extension,2,15,3,55,15,3,
,2,Lower Hypertrophy,Leg Extension,3,15,3,55,14,2,
,2,Lower Hypertrophy,Leg Extension,4,15,3,52.5,15,3,
,2,Lower Hypertrophy,Leg Curl,1,15,3,50,15,2,
,2,Lower Hypertrophy,Leg Curl,2,15,3,50,15,2,
,2,Lower Hypertrophy,Leg Curl,3,15,3,50,13,2,
,2,Lower Hypertrophy,Leg Curl,4,15,3,50,12,2,
,2,Lower Hypertrophy,Seated Calf Raise,1,15,3,55,15,3,
,2,Lower Hypertrophy,Seated Calf Raise,2,15,3,55,15,3,
,2,Lower Hypertrophy,Seated Calf Raise,3,15,3,55,15,3,
,2,Lower Hypertrophy,Seated Calf Raise,4,15,3,55,15,3,
30/08/2026,3,Upper Power,Barbell Bench Press,1,5,2,80,5,2,
1:30:23,3,Upper Power,Barbell Bench Press,2,5,2,77.5,5,2,
,3,Upper Power,Barbell Bench Press,3,5,2,77.5,5,1,
,3,Upper Power,Barbell Bench Press,4,5,2,75,5,2,
,3,Upper Power,Barbell Row,1,5,2,65,5,2,
,3,Upper Power,Barbell Row,2,5,2,65,5,3,
,3,Upper Power,Barbell Row,3,5,2,65,5,3,
,3,Upper Power,Barbell Row,4,5,2,65,5,3,
,3,Upper Power,Overhead Press,1,6,2,47.5,6,2,
,3,Upper Power,Overhead Press,2,6,2,47.5,6,1,
,3,Upper Power,Overhead Press,3,6,2,45,6,1,
,3,Upper Power,Weighted Pull-ups,1,6,2,10,7,2,
,3,Upper Power,Weighted Pull-ups,2,6,2,15,8,2,
,3,Upper Power,Weighted Pull-ups,3,6,2,15,7,1,
,3,Upper Power,Barbell Curl,1,8,2,10,8,2,
,3,Upper Power,Barbell Curl,2,8,2,10,8,2,
,3,Upper Power,Barbell Curl,3,8,2,10,8,1,
,3,Upper Power,Skull Crushers,1,8,2,10,8,2,
,3,Upper Power,Skull Crushers,2,8,2,10,8,2,
,3,Upper Power,Skull Crushers,3,8,2,10,8,1,
"31/08/2026, 15:10",3,Lower Power,Barbell Squat,1,5,2,70,5,2,
01:19:42,3,Lower Power,Barbell Squat,2,5,2,67.5,5,2,
,3,Lower Power,Barbell Squat,3,5,2,67.5,5,2,
,3,Lower Power,Barbell Squat,4,5,2,67.5,5,2,
,3,Lower Power,Deadlift,1,5,2,105,5,2,
,3,Lower Power,Deadlift,2,5,2,105,5,2,
,3,Lower Power,Deadlift,3,5,2,105,5,2,
,3,Lower Power,Deadlift,4,5,2,105,5,2,
,3,Lower Power,Leg Press,1,8,2,110,8,3,
,3,Lower Power,Leg Press,2,8,2,110,8,2,
,3,Lower Power,Leg Press,3,8,2,110,8,2,
,3,Lower Power,Leg Curl,1,8,2,62.5,8,3,
,3,Lower Power,Leg Curl,2,8,2,65,8,2,
,3,Lower Power,Leg Curl,3,8,2,65,8,1,
,3,Lower Power,Standing Calf Raise,1,10,2,30,10,2,
,3,Lower Power,Standing Calf Raise,2,10,2,30,10,2,
,3,Lower Power,Standing Calf Raise,3,10,2,30,10,2,
,3,Lower Power,Standing Calf Raise,4,10,2,30,10,,
02/09/2026,3,Upper Hypertrophy,Incline Dumbbell Press,1,12,2,24,12,2,
1:30:04,3,Upper Hypertrophy,Incline Dumbbell Press,2,12,2,24,12,2,
,3,Upper Hypertrophy,Incline Dumbbell Press,3,12,2,24,9,1,
,3,Upper Hypertrophy,Incline Dumbbell Press,4,12,2,22,10,1,
,3,Upper Hypertrophy,Cable Row,1,12,2,45,12,3,
,3,Upper Hypertrophy,Cable Row,2,12,2,46.25,12,2,
,3,Upper Hypertrophy,Cable Row,3,12,2,46.25,11,2,
,3,Upper Hypertrophy,Cable Row,4,12,2,43.75,12,2,
,3,Upper Hypertrophy,Dumbbell Lateral Raise,1,15,2,7,15,2,
,3,Upper Hypertrophy,Dumbbell Lateral Raise,2,15,2,7,15,2,
,3,Upper Hypertrophy,Dumbbell Lateral Raise,3,15,2,7,15,2,
,3,Upper Hypertrophy,Dumbbell Lateral Raise,4,15,2,6,15,2,
,3,Upper Hypertrophy,Lat Pulldown,1,12,2,52,12,3,
,3,Upper Hypertrophy,Lat Pulldown,2,12,2,54,12,2,
,3,Upper Hypertrophy,Lat Pulldown,3,12,2,54,10,1,
,3,Upper Hypertrophy,Lat Pulldown,4,12,2,52,12,1,
,3,Upper Hypertrophy,Dumbbell Curl,1,12,2,7,12,3,
,3,Upper Hypertrophy,Dumbbell Curl,2,12,2,7,12,3,
,3,Upper Hypertrophy,Dumbbell Curl,3,12,2,8,12,1,
,3,Upper Hypertrophy,Tricep Pushdown,1,12,2,26.25,12,3,
,3,Upper Hypertrophy,Tricep Pushdown,2,12,2,28.75,12,2,
,3,Upper Hypertrophy,Tricep Pushdown,3,12,2,28.75,11,1,
,3,Upper Hypertrophy,Face Pull,1,15,2,16.25,12,3,
,3,Upper Hypertrophy,Face Pull,2,15,2,18.75,12,3,
,3,Upper Hypertrophy,Face Pull,3,15,2,18.75,15,2,"Better form
"
"03/09/2026, 16:18",3,Lower Hypertrophy,Front Squat,1,10,2,45,10,2,
01:13:55,3,Lower Hypertrophy,Front Squat,2,10,2,45,9,2,
,3,Lower Hypertrophy,Front Squat,3,10,2,40,10,2,
,3,Lower Hypertrophy,Front Squat,4,10,2,37.5,10,2,
,3,Lower Hypertrophy,Romanian Deadlift,1,10,2,85,10,2,
,3,Lower Hypertrophy,Romanian Deadlift,2,10,2,85,10,2,
,3,Lower Hypertrophy,Romanian Deadlift,3,10,2,85,10,2,
,3,Lower Hypertrophy,Romanian Deadlift,4,10,2,0,0,,
,3,Lower Hypertrophy,Leg Extension,1,15,2,42.5,15,3,
,3,Lower Hypertrophy,Leg Extension,2,15,2,57.5,15,1,
,3,Lower Hypertrophy,Leg Extension,3,15,2,55,15,2,
,3,Lower Hypertrophy,Leg Extension,4,15,2,55,15,2,
,3,Lower Hypertrophy,Leg Curl,1,15,2,42.5,15,2,
,3,Lower Hypertrophy,Leg Curl,2,15,2,42.5,15,2,
,3,Lower Hypertrophy,Leg Curl,3,15,2,40,15,3,
,3,Lower Hypertrophy,Leg Curl,4,15,2,42.5,15,2,
,3,Lower Hypertrophy,Seated Calf Raise,1,15,2,57.5,15,3,
,3,Lower Hypertrophy,Seated Calf Raise,2,15,2,60,15,2,
,3,Lower Hypertrophy,Seated Calf Raise,3,15,2,60,15,2,
,3,Lower Hypertrophy,Seated Calf Raise,4,15,2,60,15,2,
"07/09/2026, 13:05",4,Upper Power,Barbell Bench Press,1,5,2,77.75,5,2,
01:48:01,4,Upper Power,Barbell Bench Press,2,5,2,75,5,1,
,4,Upper Power,Barbell Bench Press,3,5,2,70,5,2,
,4,Upper Power,Barbell Bench Press,4,5,2,70,5,1,
,4,Upper Power,Barbell Row,1,5,2,65,5,2,
,4,Upper Power,Barbell Row,2,5,2,65,5,3,
,4,Upper Power,Barbell Row,3,5,2,67.5,5,2,
,4,Upper Power,Barbell Row,4,5,2,67.5,5,2,
,4,Upper Power,Overhead Press,1,6,2,45,6,2,
,4,Upper Power,Overhead Press,2,6,2,45,6,2,
,4,Upper Power,Overhead Press,3,6,2,42.5,6,2,
,4,Upper Power,Weighted Pull-ups,1,6,2,10,8,2,
,4,Upper Power,Weighted Pull-ups,2,6,2,10,7,2,
,4,Upper Power,Weighted Pull-ups,3,6,2,10,4,0,
,4,Upper Power,Barbell Curl,1,8,2,10,8,5,
,4,Upper Power,Barbell Curl,2,8,2,11.25,8,1,
,4,Upper Power,Barbell Curl,3,8,2,10,8,2,
,4,Upper Power,Skull Crushers,1,8,2,5,8,4,
,4,Upper Power,Skull Crushers,2,8,2,5,8,4,
,4,Upper Power,Skull Crushers,3,8,2,5,8,4,
,4,Lower Power,Barbell Squat,1,5,2,70,5,2,
,4,Lower Power,Barbell Squat,2,5,2,70,5,2,
,4,Lower Power,Barbell Squat,3,5,2,70,5,1,
,4,Lower Power,Barbell Squat,4,5,2,70,5,1,
,4,Lower Power,Deadlift,1,5,2,105,5,2,
,4,Lower Power,Deadlift,2,5,2,105,5,2,
,4,Lower Power,Deadlift,3,5,2,105,5,2,
,4,Lower Power,Deadlift,4,5,2,145,5,2,
,4,Lower Power,Leg Press,1,8,2,115,8,2,
,4,Lower Power,Leg Press,2,8,2,115,8,2,
,4,Lower Power,Leg Press,3,8,2,115,8,1,
,4,Lower Power,Leg Curl,1,8,2,,,,
,4,Lower Power,Leg Curl,2,8,2,,,,
,4,Lower Power,Leg Curl,3,8,2,,,,
,4,Lower Power,Standing Calf Raise,1,10,2,,,,
,4,Lower Power,Standing Calf Raise,2,10,2,,,,
,4,Lower Power,Standing Calf Raise,3,10,2,,,,
,4,Lower Power,Standing Calf Raise,4,10,2,,,,
,4,Upper Hypertrophy,Incline Dumbbell Press,1,12,2,,,,
,4,Upper Hypertrophy,Incline Dumbbell Press,2,12,2,,,,
,4,Upper Hypertrophy,Incline Dumbbell Press,3,12,2,,,,
,4,Upper Hypertrophy,Incline Dumbbell Press,4,12,2,,,,
,4,Upper Hypertrophy,Cable Row,1,12,2,,,,
,4,Upper Hypertrophy,Cable Row,2,12,2,,,,
,4,Upper Hypertrophy,Cable Row,3,12,2,,,,
,4,Upper Hypertrophy,Cable Row,4,12,2,,,,
,4,Upper Hypertrophy,Dumbbell Lateral Raise,1,15,2,,,,
,4,Upper Hypertrophy,Dumbbell Lateral Raise,2,15,2,,,,
,4,Upper Hypertrophy,Dumbbell Lateral Raise,3,15,2,,,,
,4,Upper Hypertrophy,Dumbbell Lateral Raise,4,15,2,,,,
,4,Upper Hypertrophy,Lat Pulldown,1,12,2,,,,
,4,Upper Hypertrophy,Lat Pulldown,2,12,2,,,,
,4,Upper Hypertrophy,Lat Pulldown,3,12,2,,,,
,4,Upper Hypertrophy,Lat Pulldown,4,12,2,,,,
,4,Upper Hypertrophy,Dumbbell Curl,1,12,2,,,,
,4,Upper Hypertrophy,Dumbbell Curl,2,12,2,,,,
,4,Upper Hypertrophy,Dumbbell Curl,3,12,2,,,,
,4,Upper Hypertrophy,Tricep Pushdown,1,12,2,,,,
,4,Upper Hypertrophy,Tricep Pushdown,2,12,2,,,,
,4,Upper Hypertrophy,Tricep Pushdown,3,12,2,,,,
,4,Upper Hypertrophy,Face Pull,1,15,2,,,,
,4,Upper Hypertrophy,Face Pull,2,15,2,,,,
,4,Upper Hypertrophy,Face Pull,3,15,2,,,,
,4,Lower Hypertrophy,Front Squat,1,10,2,,,,
,4,Lower Hypertrophy,Front Squat,2,10,2,,,,
,4,Lower Hypertrophy,Front Squat,3,10,2,,,,
,4,Lower Hypertrophy,Front Squat,4,10,2,,,,
,4,Lower Hypertrophy,Romanian Deadlift,1,10,2,,,,
,4,Lower Hypertrophy,Romanian Deadlift,2,10,2,,,,
,4,Lower Hypertrophy,Romanian Deadlift,3,10,2,,,,
,4,Lower Hypertrophy,Romanian Deadlift,4,10,2,,,,
,4,Lower Hypertrophy,Leg Extension,1,15,2,,,,
,4,Lower Hypertrophy,Leg Extension,2,15,2,,,,
,4,Lower Hypertrophy,Leg Extension,3,15,2,,,,
,4,Lower Hypertrophy,Leg Extension,4,15,2,,,,
,4,Lower Hypertrophy,Leg Curl,1,15,2,,,,
,4,Lower Hypertrophy,Leg Curl,2,15,2,,,,
,4,Lower Hypertrophy,Leg Curl,3,15,2,,,,
,4,Lower Hypertrophy,Leg Curl,4,15,2,,,,
,4,Lower Hypertrophy,Seated Calf Raise,1,15,2,,,,
,4,Lower Hypertrophy,Seated Calf Raise,2,15,2,,,,
,4,Lower Hypertrophy,Seated Calf Raise,3,15,2,,,,
,4,Lower Hypertrophy,Seated Calf Raise,4,15,2,,,,
13/09/2026,5,Upper Power,Barbell Bench Press,1,5,2,88.0,5,2,
1:22:10,5,Upper Power,Barbell Bench Press,2,5,2,88.0,5,2,
,5,Upper Power,Barbell Bench Press,3,5,2,88.0,5,2,
,5,Upper Power,Barbell Bench Press,4,5,2,85.0,5,1,
,5,Upper Power,Barbell Row,1,5,2,65.5,5,2,
,5,Upper Power,Barbell Row,2,5,2,65.5,5,2,
,5,Upper Power,Barbell Row,3,5,2,71.5,5,2,
,5,Upper Power,Barbell Row,4,5,2,71.5,5,1,
,5,Upper Power,Overhead Press,1,6,2,50.5,6,2,
,5,Upper Power,Overhead Press,2,6,2,50.5,6,2,
,5,Upper Power,Overhead Press,3,6,2,50.5,6,1,
,5,Upper Power,Weighted Pull-ups,1,6,2,16.5,6,2,
,5,Upper Power,Weighted Pull-ups,2,6,2,16.5,6,2,
,5,Upper Power,Weighted Pull-ups,3,6,2,16.5,6,1,
,5,Upper Power,Barbell Curl,1,8,2,9.0,8,2,
,5,Upper Power,Barbell Curl,2,8,2,11.0,8,2,
,5,Upper Power,Barbell Curl,3,8,2,11.0,8,1,
,5,Upper Power,Skull Crushers,1,8,2,11.0,8,2,
,5,Upper Power,Skull Crushers,2,8,2,11.0,8,2,
,5,Upper Power,Skull Crushers,3,8,2,11.0,8,1,
14/09/2026,5,Lower Power,Barbell Squat,1,5,2,77.0,5,2,
1:18:45,5,Lower Power,Barbell Squat,2,5,2,77.0,5,2,
,5,Lower Power,Barbell Squat,3,5,2,77.0,5,2,
,5,Lower Power,Barbell Squat,4,5,2,77.0,5,1,
,5,Lower Power,Deadlift,1,5,2,115.5,5,2,
,5,Lower Power,Deadlift,2,5,2,115.5,5,2,
,5,Lower Power,Deadlift,3,5,2,115.5,5,2,
,5,Lower Power,Deadlift,4,5,2,115.5,5,1,
,5,Lower Power,Leg Press,1,8,2,121.0,8,2,
,5,Lower Power,Leg Press,2,8,2,121.0,8,2,
,5,Lower Power,Leg Press,3,8,2,121.0,8,1,
,5,Lower Power,Leg Curl,1,8,2,71.5,8,2,
,5,Lower Power,Leg Curl,2,8,2,71.5,8,2,
,5,Lower Power,Leg Curl,3,8,2,71.5,8,1,
,5,Lower Power,Standing Calf Raise,1,10,2,33.0,10,2,
,5,Lower Power,Standing Calf Raise,2,10,2,33.0,10,2,
,5,Lower Power,Standing Calf Raise,3,10,2,33.0,10,2,
,5,Lower Power,Standing Calf Raise,4,10,2,33.0,10,1,
16/09/2026,5,Upper Hypertrophy,Incline Dumbbell Press,1,12,2,28.5,12,2,
1:28:30,5,Upper Hypertrophy,Incline Dumbbell Press,2,12,2,28.5,12,2,
,5,Upper Hypertrophy,Incline Dumbbell Press,3,12,2,27.0,12,2,
,5,Upper Hypertrophy,Incline Dumbbell Press,4,12,2,24.0,12,1,
,5,Upper Hypertrophy,Cable Row,1,12,2,45.0,12,2,
,5,Upper Hypertrophy,Cable Row,2,12,2,51.0,12,2,
,5,Upper Hypertrophy,Cable Row,3,12,2,51.0,12,2,
,5,Upper Hypertrophy,Cable Row,4,12,2,45.0,12,1,
,5,Upper Hypertrophy,Dumbbell Lateral Raise,1,15,2,7.5,15,2,
,5,Upper Hypertrophy,Dumbbell Lateral Raise,2,15,2,7.5,15,2,
,5,Upper Hypertrophy,Dumbbell Lateral Raise,3,15,2,7.5,15,2,
,5,Upper Hypertrophy,Dumbbell Lateral Raise,4,15,2,7.5,15,1,
,5,Upper Hypertrophy,Lat Pulldown,1,12,2,51.5,12,2,
,5,Upper Hypertrophy,Lat Pulldown,2,12,2,55.0,12,2,
,5,Upper Hypertrophy,Lat Pulldown,3,12,2,59.5,12,2,
,5,Upper Hypertrophy,Lat Pulldown,4,12,2,51.5,12,1,
,5,Upper Hypertrophy,Dumbbell Curl,1,12,2,6.5,12,2,
,5,Upper Hypertrophy,Dumbbell Curl,2,12,2,9.0,12,2,
,5,Upper Hypertrophy,Dumbbell Curl,3,12,2,7.5,12,1,
,5,Upper Hypertrophy,Tricep Pushdown,1,12,2,49.5,12,2,
,5,Upper Hypertrophy,Tricep Pushdown,2,12,2,49.5,12,2,
,5,Upper Hypertrophy,Tricep Pushdown,3,12,2,49.5,12,1,
,5,Upper Hypertrophy,Face Pull,1,15,2,33.0,15,2,
,5,Upper Hypertrophy,Face Pull,2,15,2,27.5,15,2,
,5,Upper Hypertrophy,Face Pull,3,15,2,27.5,15,1,
17/09/2026,5,Lower Hypertrophy,Front Squat,1,10,2,49.5,10,2,
1:20:15,5,Lower Hypertrophy,Front Squat,2,10,2,49.5,10,2,
,5,Lower Hypertrophy,Front Squat,3,10,2,49.5,10,2,
,5,Lower Hypertrophy,Front Squat,4,10,2,46.0,10,1,
,5,Lower Hypertrophy,Romanian Deadlift,1,10,2,99.0,10,2,
,5,Lower Hypertrophy,Romanian Deadlift,2,10,2,99.0,10,2,
,5,Lower Hypertrophy,Romanian Deadlift,3,10,2,99.0,10,2,
,5,Lower Hypertrophy,Romanian Deadlift,4,10,2,99.0,10,1,
,5,Lower Hypertrophy,Leg Extension,1,15,2,58.0,15,2,
,5,Lower Hypertrophy,Leg Extension,2,15,2,58.0,15,2,
,5,Lower Hypertrophy,Leg Extension,3,15,2,61.0,15,2,
